"key","en","fr","ja","vi","zh"
"core/base/enums::system_updater_steps.messages.clean_up","Cleaning up system update files...","Nettoyage des fichiers de mise à jour système...","システムアップデートファイルをクリーンアップしています...","Dọn dẹp các tập tin cập nhật hệ thống...","清理系统更新文件..."
"core/base/enums::system_updater_steps.messages.done","Done! Your browser will be refreshed in 30 seconds.","Terminé ! Votre navigateur sera actualisé dans 30 secondes.","終わり！ブラウザは 30 秒以内に更新されます。","Xong! Trình duyệt của bạn sẽ được làm mới sau 30 giây.","完成！您的浏览器将在30秒内刷新。"
"core/base/enums::system_updater_steps.failed_messages.download","Could not download update files","Impossible de télécharger les fichiers de mise à jour","アップデートファイルをダウンロードできませんでした","Không thể tải xuống tập tin cập nhật","无法下载更新文件"
"core/base/enums::system_updater_steps.failed_messages.update_files","Could not update system files","Impossible de mettre à jour les fichiers système","システムファイルを更新できませんでした","Không thể cập nhật tập tin hệ thống","无法更新系统文件"
"core/base/enums::system_updater_steps.failed_messages.update_database","Could not update databases","Impossible de mettre à jour les bases de données","データベースを更新できませんでした","Không thể cập nhật cơ sở dữ liệu","无法更新数据库"
"core/base/enums::system_updater_steps.failed_messages.publish_core_assets","Could not publish core assets","Impossible de publier les assets principaux","コアアセットを公開できませんでした","Không thể xuất bản nội dung cốt lõi","无法发布核心资产"
"core/base/enums::system_updater_steps.failed_messages.publish_packages_assets","Could not publish packages assets","Impossible de publier les assets des packages","パッケージアセットを公開できませんでした","Không thể xuất bản nội dung gói","无法发布软件包资产"
"core/base/enums::system_updater_steps.failed_messages.clean_up","Could not clean up system update files","Impossible de nettoyer les fichiers de mise à jour système","システムアップデートファイルをクリーンアップできませんでした","Không thể dọn sạch các tập tin cập nhật hệ thống","无法清理系统更新文件"
"core/base/enums::system_updater_steps.success_messages.download","Downloaded update files successfully.","Fichiers de mise à jour téléchargés avec succès.","アップデートファイルが正常にダウンロードされました。","Đã tải xuống tập tin cập nhật thành công.","下载更新文件成功。"
"core/base/enums::system_updater_steps.success_messages.update_files","Updated system files successfully.","Fichiers système mis à jour avec succès.","システムファイルが正常に更新されました。","Đã cập nhật tập tin hệ thống thành công.","成功更新系统文件。"
"core/base/enums::system_updater_steps.success_messages.update_database","Updated databases successfully.","Bases de données mises à jour avec succès.","データベースが正常に更新されました。","Cập nhật cơ sở dữ liệu thành công.","成功更新数据库。"
"core/base/enums::system_updater_steps.success_messages.publish_core_assets","Published core assets successfully.","Assets principaux publiés avec succès.","コアアセットが正常に公開されました。","Đã xuất bản thành công tài sản cốt lõi.","成功发布核心资产。"
"core/base/enums::system_updater_steps.success_messages.publish_packages_assets","Published packages assets successfully.","Assets des packages publiés avec succès.","パッケージアセットが正常に公開されました。","Đã xuất bản nội dung gói thành công.","成功发布包资产。"
"core/base/enums::system_updater_steps.success_messages.clean_up","Cleaned up system update files successfully.","Fichiers de mise à jour système nettoyés avec succès.","システムアップデートファイルが正常にクリーンアップされました。","Đã dọn dẹp thành công các tập tin cập nhật hệ thống.","成功清理了系统更新文件。"
"core/base/errors::401_title","Permission Denied","Permission refusée","許可が拒否されました","Bạn không có quyền truy cập trang này","权限被拒绝"
"core/base/errors::404_title","Page could not be found","La page n'a pas pu être trouvée","ページが見つかりませんでした","Không tìm thấy trang yêu cầu","页面未找到"
"core/base/errors::404_page_not_found","404 Page Not Found","404 Page non trouvée","404 ページが見つかりません","404 Không tìm thấy trang","404 找不到页面"
"core/base/errors::404_page_not_found_description","Page could not be found","La page n'a pas pu être trouvée","ページが見つかりませんでした","Không thể tìm thấy trang","找不到页面"
"core/base/errors::404_description","The page you are looking for could not be found.","La page que vous recherchez est introuvable.","お探しのページが見つかりませんでした。","Không thể tìm thấy trang bạn đang tìm kiếm.","找不到您要查找的页面。"
"core/base/errors::500_title","Page could not be loaded","La page n'a pas pu être chargée","ページを読み込めませんでした","Không thể tải trang","页面无法加载"
"core/base/errors::500_internal_server_error","500 Internal Server Error","500 Erreur interne du serveur","500 内部サーバーエラー","500 Lỗi máy chủ nội bộ","500 内部服务器错误"
"core/base/errors::500_internal_server_error_description","Internal Server Error","Erreur interne du serveur","内部サーバーエラー","Lỗi máy chủ nội bộ","内部服务器错误"
"core/base/errors::500_description","Something is broken. Please let us know what you were doing when this error occurred. We will fix it as soon as possible. Sorry for any inconvenience caused.","Quelque chose est cassé. Veuillez nous indiquer ce que vous faisiez lorsque cette erreur s'est produite. Nous le réparerons dès que possible. Désolé pour la gêne occasionnée.","何かが壊れています。このエラーが発生したときに何をしていたか教えてください。できるだけ早く修正します。ご不便をおかけして申し訳ございません。","Đã xảy ra sự cố. Vui lòng cho chúng tôi biết bạn đang làm gì khi lỗi này xảy ra. Chúng tôi sẽ sửa nó càng sớm càng tốt. Xin lỗi vì sự bất tiện này.","出现了问题。请告诉我们发生此错误时您在做什么。我们会尽快修复。对于造成的不便深表歉意。"
"core/base/errors::503_service_unavailable","503 Service Unavailable","503 Service indisponible","503 サービス利用不可","503 Dịch vụ không khả dụng","503 服务不可用"
"core/base/errors::503_temporarily_down","Temporarily down for maintenance","Temporairement hors service pour maintenance","メンテナンスのため一時的にダウン","Tạm thời ngừng hoạt động để bảo trì","维护中暂时关闭"
"core/base/errors::503_admin_instruction","If you are the administrator and you can't access your site after enabling maintenance mode, just need to delete file <strong>storage/framework/down</strong> to turn-off maintenance mode.","Si vous êtes l'administrateur et que vous ne pouvez pas accéder à votre site après avoir activé le mode maintenance, il vous suffit de supprimer le fichier <strong>storage/framework/down</strong> pour désactiver le mode maintenance.","管理者の方で、メンテナンスモードを有効にした後にサイトにアクセスできない場合は、<strong>storage/framework/down</strong> ファイルを削除するだけで、メンテナンスモードを無効にできます。","Nếu bạn là quản trị viên và không thể truy cập trang web của mình sau khi bật chế độ bảo trì, chỉ cần xóa tệp <strong>storage/framework/down</strong> để tắt chế độ bảo trì.","如果您是管理员并且在启用维护模式后无法访问您的网站，只需删除文件 <strong>storage/framework/down</strong> 即可关闭维护模式。"
"core/base/errors::reasons","This may have occurred because of several reasons","Plusieurs raisons peuvent expliquer cette situation","これはいくつかの理由で発生した可能性があります","Điều này có thể xảy ra vì nhiều lý do.","这可能是由于几个原因造成的"
"core/base/errors::try_again","Please try again in a few minutes, or alternatively return to the homepage by <a href=:link>clicking here</a>.","Veuillez réessayer dans quelques minutes ou retourner à la page d'accueil en <a href=:link>cliquant ici</a>.","数分後にもう一度お試しいただくか、<a href=:link>ここをクリック</a>してホームページに戻ってください。","Vui lòng thử lại trong vài phút, hoặc quay trở lại trang chủ bằng cách <a href=:link>nhấn vào đây</a>.","请在几分钟后再试，或者通过<a href=:link>点击这里</a>返回主页。"
"core/base/errors::not_found","Not Found","Non trouvé","見つかりません","Không tìm thấy","未找到"
"core/base/errors::results_not_found","Results not found!","Résultats non trouvés!","結果が見つかりません!","Không tìm thấy kết quả!","结果未找到！"
"core/base/errors::go_to_home","Go to home","Aller à l'accueil","家に帰る","Về trang chủ","去首页"
"core/base/errors::take_me_home","Take me home","Ramenez-moi à la maison","ホームに戻る","Quay về trang chủ","带我回家"
"core/base/errors::error_when_sending_email","Unable to send e-mail. Something wrong with your email settings in Admin → Settings → Email, please check your settings again.","Impossible d'envoyer l'e-mail. Un problème est survenu avec vos paramètres de messagerie dans Admin → Paramètres → E-mail, veuillez vérifier à nouveau vos paramètres.","電子メールを送信できません。 「管理者」→「設定」→「メール」のメール設定に問題があります。設定をもう一度確認してください。","Không thể gửi e-mail. Đã xảy ra lỗi với cài đặt email của bạn trong Quản trị → Cài đặt → Email, vui lòng kiểm tra lại cài đặt của bạn.","无法发送电子邮件。您的电子邮件设置在管理 → 设置 → 电子邮件中出现问题，请再次检查您的设置。"
"core/base/errors::error_when_sending_email_guest","Unable to send e-mail. Please contact the site administrator if the problem persists.","Impossible d'envoyer l'e-mail. Veuillez contacter l'administrateur du site si le problème persiste.","電子メールを送信できません。問題が解決しない場合は、サイト管理者に問い合わせてください。","Không thể gửi e-mail. Vui lòng liên hệ với quản trị viên trang web nếu sự cố vẫn tiếp diễn.","无法发送电子邮件。如果问题仍然存在，请联系网站管理员。"
"core/base/errors::token_mismatch","Session expired. Please try again.","Session expirée. Veuillez réessayer.","セッションの期限が切れました。もう一度お試しください。","Phiên đã hết hạn. Vui lòng thử lại.","会话已过期。请重试。"
"core/base/errors::bad_request","Bad Request","Requête invalide","不正なリクエスト","Yêu cầu không hợp lệ","错误的请求"
"core/base/forms::choose_image","Choose image","Choisir l'image","画像を選択してください","Chọn ảnh","选择图片"
"core/base/forms::actions","Actions","Liste des actions","アクション","Tác vụ","动作"
"core/base/forms::save","Save & Exit","Sauvegarder","保存して終了","Lưu","保存并退出"
"core/base/forms::save_and_continue","Save","Sauvegarder et éditer","保存","Lưu & chỉnh sửa","保存"
"core/base/forms::image","Image","Image principale","画像","Hình ảnh","图像"
"core/base/forms::images","Images","Galerie d'images","画像","Thư viện ảnh","图像"
"core/base/forms::image_placeholder","Insert path of image or click upload button","Insérer le chemin d'accès de l'image ou cliquer sur le bouton de téléchargement","画像のパスを挿入するか、アップロードボタンをクリックしてください","Chèn đường dẫn hình ảnh hoặc nhấn nút để chọn hình","插入图像路径或点击上传按钮"
"core/base/forms::create","Create","Créer","作成する","Tạo mới","创建"
"core/base/forms::edit","Edit","Éditer","編集","Sửa","编辑"
"core/base/forms::permalink","Permalink","Lien permanent","パーマリンク","Đường dẫn tĩnh","永久链接"
"core/base/forms::ok","OK","Valider","わかりました","Đồng ý","好的"
"core/base/forms::cancel","Cancel","Annuler","キャンセル","Hủy bỏ","取消"
"core/base/forms::template","Template","Modèle","テンプレート","Mẫu giao diện","模板"
"core/base/forms::choose_file","Choose file","Choisir le fichier","ファイルを選択してください","Chọn tập tin","选择文件"
"core/base/forms::file","File","Fichier","ファイル","Tập tin","文件"
"core/base/forms::content","Content","Contenu","コンテンツ","Nội dung","内容"
"core/base/forms::description","Description","Description détaillée","説明","Mô tả","描述"
"core/base/forms::name","Name","Nom","名前","Tên","姓名"
"core/base/forms::email","Email","Courriel","電子メール","E-mail","电子邮件"
"core/base/forms::slug","Slug","Identifiant lisible","ナメクジ","Đường dẫn","小子"
"core/base/forms::title","Title","Titre","タイトル","Tiêu đề","标题"
"core/base/forms::value","Value","Valeur","価値","Giá trị","值"
"core/base/forms::name_placeholder","Name","Nom","名前","Nhập tên","姓名"
"core/base/forms::alias_placeholder","Alias","Alias (facultatif)","エイリアス","Mã thay thế","别名"
"core/base/forms::description_placeholder","Short description","Brève description","簡単な説明","Mô tả ngắn","短描述"
"core/base/forms::email_placeholder","e.g: example@domain.com","ex: example@domain.com","例: example@domain.com","ví dụ: example@domain.com","例如：example@domain.com"
"core/base/forms::content_placeholder","Write your content","Écrivez votre contenu","コンテンツを書く","Viết nội dung của bạn","撰写您的内容"
"core/base/forms::parent","Parent","Élément parent","親","Cha","父母"
"core/base/forms::icon","Icon","Icône","アイコン","Biểu tượng","图标"
"core/base/forms::icon_placeholder","Ex: ti ti-home","Ex: fa fa-home","例: ティ ティ ホーム","Ví dụ: ti ti-home","例：ti ti-home"
"core/base/forms::order_by","Order by","Commander par","注文方法","Sắp xếp","排序依据"
"core/base/forms::order_by_placeholder","Order by","Commander par","注文方法","Sắp xếp","排序依据"
"core/base/forms::is_featured","Is featured?","Est-il mis en vedette ?","特集されていますか？","Nổi bật?","是否被推荐？"
"core/base/forms::is_default","Is default?","Est-ce par défaut ?","デフォルトですか？","Mặc định?","是默认吗？"
"core/base/forms::update","Update","Mise à jour","アップデート","Cập nhật","更新"
"core/base/forms::publish","Publish","Publier","公開","Xuất bản","发布"
"core/base/forms::remove_image","Remove image","Supprimer l'image","画像を削除","Xoá ảnh","删除图片"
"core/base/forms::remove_file","Remove file","Supprimer le fichier","ファイルを削除する","Xóa tập tin","删除文件"
"core/base/forms::order","Order","Commande","注文","Thứ tự","订单"
"core/base/forms::alias","Alias","Alias personnalisé","エイリアス","Mã thay thế","别名"
"core/base/forms::basic_information","Basic information","Informations de base","基本情報","Thông tin cơ bản","基本信息"
"core/base/forms::short_code","Shortcode","Code court","ショートコード","Mã rút gọn","短代码"
"core/base/forms::add_short_code","Add a shortcode","Ajouter un shortcode","ショートコードを追加する","Thêm mã rút gọn","添加短代码"
"core/base/forms::add","Add","Ajouter","追加","Thêm","添加"
"core/base/forms::link","Link","Lien","リンク","Liên kết","链接"
"core/base/forms::show_hide_editor","Show/Hide Editor","Afficher/masquer l'éditeur","エディターの表示/非表示","Hiển thị/Ẩn trình soạn thảo","显示/隐藏编辑器"
"core/base/forms::basic_info_title","Basic information","Informations de base","基本情報","Thông tin cơ bản","基本信息"
"core/base/forms::view_preview_image","View preview image","Voir l'aperçu de l'image","プレビュー画像を表示","Xem hình ảnh xem trước","查看预览图"
"core/base/forms::edit_item","Edit :name","Modifier :name","「:名前」を編集します","Chỉnh sửa :name","编辑 :name"
"core/base/forms::reset","Reset","Réinitialiser","リセット","Đặt lại","重置"
"core/base/forms::add_images","Add Images","Ajouter des images","画像の追加","Thêm hình ảnh","添加图片"
"core/base/forms::status","Status","Statut","状態","Trạng thái","状态"
"core/base/forms::select_placeholder","Select an option","Sélectionner une option","オプションを選択してください","Chọn một tùy chọn","选择一个选项"
"core/base/forms::selected","selected","sélectionné","選択された","đã chọn","选定"
"core/base/forms::count_selected",":count selected",":count sélectionné(s)",":count 件選択済み",":count đã chọn",":count 选中"
"core/base/forms::sort_order","Sort order","Ordre de tri","並べ替え順序","Thứ tự sắp xếp","排序顺序"
"core/base/forms::search_input_placeholder","Search...","Rechercher...","検索...","Tìm kiếm...","搜索..."
"core/base/forms::select","-- Select --","-- Sélectionner --","-- 選択 --","-- Chọn --","-- 选择 --"
"core/base/forms::add_new","Add new","Ajouter nouveau","新規追加","Thêm mới","添加新项"
"core/base/forms::crop_image_update","Update :name","Mettre à jour :name",":name を更新","Cập nhật :name","更新 :name"
"core/base/forms::variables","Variables","Variables disponibles","変数","Biến","变量"
"core/base/forms::functions","Functions","Fonctions","関数","Hàm","函数"
"core/base/forms::learn_more_twig","Learn more about Twig template: :url","En savoir plus sur le modèle Twig : :url","Twig テンプレートの詳細: :url","Tìm hiểu thêm về mẫu Twig: :url","了解更多关于 Twig 模板的信息：:url"
"core/base/forms::open_user_menu","Open user menu","Ouvrir le menu utilisateur","ユーザーメニューを開く","Mở menu người dùng","打开用户菜单"
"core/base/forms::enable_light_mode","Enable light mode","Activer le mode clair","ライトモードを有効にする","Bật chế độ sáng","启用亮色模式"
"core/base/forms::enable_dark_mode","Enable dark mode","Activer le mode sombre","ダークモードを有効にする","Bật chế độ tối","启用暗色模式"
"core/base/forms::close","Close","Fermer","閉じる","Đóng","关闭"
"core/base/layouts::platform_admin","Platform Administration","Administration de la plateforme","プラットフォーム管理","Quản trị hệ thống","平台管理"
"core/base/layouts::dashboard","Dashboard","Tableau de bord","ダッシュボード","Bảng điều khiển","仪表板"
"core/base/layouts::widgets","Widgets","Widgets","ウィジェット","Tiện ích","小部件"
"core/base/layouts::plugins","Plugins","Plugins","プラグイン","Tiện ích mở rộng","插件"
"core/base/layouts::settings","Settings","Paramètres","設定","Cài đặt","设置"
"core/base/layouts::setting_general","General","Général","一般的な","Cơ bản","一般"
"core/base/layouts::setting_email","Email","Email","電子メール","E-mail","电子邮件"
"core/base/layouts::system_information","System information","Informations sur le système","システム情報","Thông tin hệ thống","系统信息"
"core/base/layouts::theme","Theme","Thème","テーマ","Giao diện","主题"
"core/base/layouts::copyright","Copyright :year © :company. Version :version","Droits d'auteur :year © :company. Version :version","著作権 :year © :company. バージョン :version","Bản quyền :year &copy; :company. Phiên bản: <span>:version</span>","版权 :year © :company. 版本 :version"
"core/base/layouts::profile","Profile","Profil","プロフィール","Thông tin cá nhân","个人资料"
"core/base/layouts::logout","Logout","Déconnexion","ログアウト","Đăng xuất","注销"
"core/base/layouts::no_search_result","No results found, please try with different keywords.","Aucun résultat n'a été trouvé, veuillez essayer avec d'autres mots-clés.","結果が見つかりませんでした。別のキーワードで試してください。","Không có kết quả tìm kiếm, hãy thử lại với từ khóa khác.","未找到结果，请尝试使用其他关键词。"
"core/base/layouts::home","Home","Accueil","家","Trang chủ","家"
"core/base/layouts::search","Search","Recherche","検索","Tìm kiếm","搜索"
"core/base/layouts::add_new","Add new","Ajouter un nouveau","新規追加","Thêm mới","添加新内容"
"core/base/layouts::n_a","N/A","N/A","該当なし","không áp dụng","不适用"
"core/base/layouts::page_loaded_in_time","Page loaded in :time seconds","Page chargée en :time secondes","ページは :time 秒で読み込まれました","Trang được tải trong :time giây","页面在 :time 秒内加载完成"
"core/base/layouts::view_website","View website","Voir le site Web","ウェブサイトを見る","Xem trang ngoài","查看网站"
"core/base/layouts::tools","Tools","Outils","ツール","Công cụ","工具"
"core/base/notices::create_success_message","Created successfully","Créé avec succès","正常に作成されました","Tạo thành công","创建成功"
"core/base/notices::update_success_message","Updated successfully","Mise à jour réussie","正常に更新されました","Cập nhật thành công","更新成功"
"core/base/notices::delete_success_message","Deleted successfully","Supprimé avec succès","正常に削除されました","Xóa thành công","删除成功"
"core/base/notices::success_header","Success!","Succès!","成功！","Thành công!","成功!"
"core/base/notices::error_header","Error!","Erreur!","エラー！","Lỗi!","错误!"
"core/base/notices::no_select","Please select at least one record to perform this action!","Veuillez sélectionner au moins un enregistrement pour effectuer cette action !","このアクションを実行するには、少なくとも 1 つのレコードを選択してください。","Vui lòng chọn ít nhất một bản ghi để thực hiện hành động này!","请至少选择一条记录以执行此操作！"
"core/base/notices::processing_request","We are processing your request.","Nous traitons votre demande.","リクエストを処理中です。","Chúng tôi đang xử lý yêu cầu của bạn.","我们正在处理您的请求。"
"core/base/notices::error","Error!","Erreur!","エラー！","Lỗi!","错误!"
"core/base/notices::success","Success!","Succès!","成功！","Thành công!","成功！"
"core/base/notices::info","Info!","Info!","情報！","Thông tin!","信息！"
"core/base/notices::enum.validate_message","The :attribute value you have entered is invalid.","La valeur de :attribute que vous avez saisie n'est pas valide.","The :attribute value you have entered is invalid.","Giá trị :attribute bạn đã nhập không hợp lệ.","您输入的:attribute值无效。"
"core/base/notices::delete_failed_message","Failed to delete, item not found.","Échec de la suppression, élément introuvable.","アイテムが見つからないため、削除できませんでした。","Xóa thất bại, không tìm thấy mục.","删除失败，未找到项目。"
"core/base/notifications::notifications","Notifications","Centre de notifications","通知","Thông báo","通知"
"core/base/notifications::mark_as_read","Mark all as read","Tout marquer comme lu","すべて既読としてマークする","đánh dấu tất cả như đã đọc","标记为已读"
"core/base/notifications::clear","Clear","Effacer","クリア","Thông thoáng","清除"
"core/base/notifications::no_notification_here","No notifications here","Aucune notification ici","ここには通知はありません","Không có thông báo ở đây","这里没有通知"
"core/base/notifications::please_check_again_later","Please check again later","Veuillez réessayer plus tard","後でもう一度確認してください","Vui lòng kiểm tra lại sau","请稍后再检查"
"core/base/notifications::view_more","View more...","Voir plus...","もっと見る...","Xem thêm...","查看更多..."
"core/base/notifications::view","View","Voir","ビュー","Xem","查看"
"core/base/notifications::next","Next","Suivant","次","Kế tiếp","下一个"
"core/base/notifications::previous","Previous","Précédent","前の","Trước","上一个"
"core/base/system::no_select","Please select at least one record to take this action!","Veuillez sélectionner au moins un enregistrement pour effectuer cette action !","このアクションを実行するには、少なくとも 1 つのレコードを選択してください。","Vui lòng chọn ít nhất một bản ghi để thực hiện thao tác này!","请至少选择一条记录以执行此操作！"
"core/base/system::cannot_find_user","Unable to find specified user","Impossible de trouver l'utilisateur spécifié","指定されたユーザーが見つかりません","Không thể tìm thấy người dùng được chỉ định","无法找到指定用户"
"core/base/system::supper_revoked","Super user access revoked","L'accès du super-utilisateur est révoqué","スーパーユーザーのアクセス権が取り消されました","Đã thu hồi quyền quản trị viên cấp cao","超级用户访问权限已被撤销"
"core/base/system::cannot_revoke_yourself","Can not revoke supper user access permission yourself!","Il n'est pas possible de révoquer soi-même l'autorisation d'accès de l'utilisateur du supporteur !","supper ユーザーのアクセス許可を自分で取り消すことはできません。","Bạn không thể tự thu hồi quyền quản trị viên cấp cao của chính mình!","无法自行撤销超级用户访问权限！"
"core/base/system::cant_remove_supper","You don't has permission to remove this super user","Vous n'avez pas la permission de supprimer ce super utilisateur","このスーパー ユーザーを削除する権限がありません","Bạn không có quyền xóa quản trị viên cấp cao này","你没有权限删除这个超级用户"
"core/base/system::cant_find_user_with_email","Unable to find user with specified email address","Impossible de trouver l'utilisateur dont l'adresse électronique est spécifiée","指定されたメールアドレスを持つユーザーが見つかりません","Không thể tìm thấy người dùng với địa chỉ email được chỉ định","无法找到具有指定电子邮件地址的用户"
"core/base/system::supper_granted","Super user access granted","Accès du super-utilisateur accordé","スーパーユーザーアクセスが許可されました","Đã cấp quyền quản trị viên cấp cao","超级用户访问权限已授予"
"core/base/system::delete_log_success","Delete log file successfully!","Suppression du fichier journal réussie !","ログファイルが正常に削除されました。","Xóa tệp nhật ký thành công!","删除日志文件成功！"
"core/base/system::get_member_success","Member list retrieved successfully","La liste des membres a été récupérée avec succès","メンバーリストが正常に取得されました","Lấy danh sách thành viên thành công","成员列表成功检索"
"core/base/system::error_occur","The following errors occurred","Les erreurs suivantes se sont produites","次のエラーが発生しました","Đã xảy ra các lỗi sau","发生了以下错误"
"core/base/system::user_management","User Management","Gestion des utilisateurs","ユーザー管理","Quản lý người dùng","用户管理"
"core/base/system::user_management_description","Manage users.","Gérer les utilisateurs.","ユーザーを管理します。","Quản lý người dùng.","管理用户。"
"core/base/system::role_and_permission","Roles and Permissions","Rôles et permissions","役割と権限","Vai trò và quyền hạn","角色和权限"
"core/base/system::role_and_permission_description","Manage the available roles.","Gérer les rôles disponibles.","利用可能な役割を管理します。","Quản lý các vai trò khả dụng.","管理可用角色。"
"core/base/system::user.list_super","List Super Users","Liste des super utilisateurs","スーパーユーザーのリストを表示する","Danh sách quản trị viên cấp cao","列出超级用户"
"core/base/system::user.email","Email","Courriel","電子メール","Thư điện tử","电子邮件"
"core/base/system::user.last_login","Last Login","Dernière connexion","最終ログイン","Lần đăng nhập cuối","最后登录"
"core/base/system::user.username","Username","Nom d'utilisateur","ユーザー名","Tên đăng nhập","用户名"
"core/base/system::user.add_user","Add Super User","Ajouter un super utilisateur","スーパーユーザーの追加","Thêm quản trị viên cấp cao","添加超级用户"
"core/base/system::user.cancel","Cancel","Annuler","キャンセル","Hủy","取消"
"core/base/system::user.create","Create","Créer","作成する","Tạo","创建"
"core/base/system::options.features","Feature Access Control","Contrôle d'accès aux fonctionnalités","機能アクセス制御","Kiểm soát truy cập tính năng","功能访问控制"
"core/base/system::options.feature_description","Manage the available.","Gérez les fonctionnalités disponibles.","利用可能なものを管理します。","Quản lý các tính năng khả dụng.","管理可用的功能。"
"core/base/system::options.manage_super","Super User Management","Gestion des super utilisateurs","スーパーユーザー管理","Quản lý quản trị viên cấp cao","超级用户管理"
"core/base/system::options.manage_super_description","Add/remove super users.","Ajouter/supprimer des super utilisateurs.","スーパーユーザーを追加/削除します。","Thêm/xóa quản trị viên cấp cao.","添加/删除超级用户。"
"core/base/system::options.info","System information","Informations système","システム情報","Thông tin hệ thống","系统信息"
"core/base/system::options.info_description","All information about current system configuration.","Toutes les informations sur la configuration actuelle du système.","現在のシステム構成に関するすべての情報。","Tất cả thông tin về cấu hình hệ thống hiện tại.","当前系统配置的所有信息。"
"core/base/system::info.title","System Information","Informations système","システム情報","Thông tin hệ thống","系统信息"
"core/base/system::info.description","All information about current system configuration.","All information about current system configuration.","現在のシステム構成に関するすべての情報。","Tất cả thông tin về cấu hình hệ thống hiện tại.","当前系统配置的所有信息。"
"core/base/system::info.cache","Cache","Mémoire cache","キャッシュ","Bộ nhớ đệm","缓存"
"core/base/system::info.locale","Active locale","Locale active","アクティブなロケール","Ngôn ngữ đang hoạt động","活动区域"
"core/base/system::info.environment","Environment","Environnement","環境","Môi trường","环境"
"core/base/system::disabled_in_demo_mode","You cannot do it in demo mode!","Vous ne pouvez pas le faire en mode démo !","デモモードでは実行できません。","Bạn không thể thực hiện thao tác này trong chế độ demo!","你不能在演示模式下这样做！"
"core/base/system::report_description","Please share this information for troubleshooting","Veuillez partager cette information pour le dépannage","トラブルシューティングのためにこの情報を共有してください","Vui lòng chia sẻ thông tin này để hỗ trợ khắc phục sự cố","请分享此信息以进行故障排除"
"core/base/system::get_system_report","Get System Report","Obtenir le rapport système","システムレポートの取得","Lấy báo cáo hệ thống","获取系统报告"
"core/base/system::system_environment","System Environment","Environnement système","システム環境","Môi trường hệ thống","系统环境"
"core/base/system::framework_version","Framework Version","Version du framework","フレームワークのバージョン","Phiên bản Framework","框架版本"
"core/base/system::timezone","Timezone","Fuseau horaire","タイムゾーン","Múi giờ","时区"
"core/base/system::debug_mode","Debug Mode","Mode débogage","デバッグモード","Chế độ gỡ lỗi","调试模式"
"core/base/system::debug_mode_off","Debug Mode Off","Mode débogage désactivé","デバッグモードオフ","Tắt chế độ gỡ lỗi","调试模式关闭"
"core/base/system::storage_dir_writable","Storage Dir Writable","Répertoire de stockage accessible en écriture","書き込み可能なストレージディレクトリ","Thư mục lưu trữ có thể ghi","存储目录可写"
"core/base/system::cache_dir_writable","Cache Dir Writable","Répertoire de cache accessible en écriture","書き込み可能なキャッシュディレクトリ","Thư mục bộ nhớ đệm có thể ghi","缓存目录可写"
"core/base/system::app_size","App Size","Taille de l'application","アプリのサイズ","Kích thước ứng dụng","应用大小"
"core/base/system::server_environment","Server Environment","Environnement serveur","サーバー環境","Môi trường máy chủ","服务器环境"
"core/base/system::php_version","PHP Version","Version PHP","PHPのバージョン","Phiên bản PHP","PHP版本"
"core/base/system::php_version_error","PHP must be >= :version","PHP doit être >= :version","PHP は :version 以上である必要があります","PHP phải >= :version","PHP 必须 >= :version"
"core/base/system::server_software","Server Software","Logiciel serveur","サーバーソフトウェア","Phần mềm máy chủ","服务器软件"
"core/base/system::server_os","Server OS","Système d'exploitation du serveur","サーバーOS","Hệ điều hành máy chủ","服务器操作系统"
"core/base/system::database","Database","Base de données","データベース","Cơ sở dữ liệu","数据库"
"core/base/system::ssl_installed","SSL Installed","SSL installé","SSLがインストールされています","Đã cài đặt SSL","SSL已安装"
"core/base/system::cache_driver","Cache Driver","Pilote de cache","キャッシュドライバー","Trình điều khiển bộ nhớ đệm","缓存驱动"
"core/base/system::session_driver","Session Driver","Pilote de session","セッションドライバー","Trình điều khiển phiên","会话驱动程序"
"core/base/system::queue_connection","Queue Connection","Connexion à la file d'attente","キュー接続","Kết nối hàng đợi","队列连接"
"core/base/system::mbstring_ext","Mbstring Ext","Extension Mbstring","Mbstring 拡張子","Tiện ích mở rộng Mbstring","Mbstring 扩展"
"core/base/system::openssl_ext","OpenSSL Ext","Extension OpenSSL","OpenSSL 拡張","Tiện ích mở rộng OpenSSL","OpenSSL 扩展"
"core/base/system::pdo_ext","PDO Ext","Extension PDO","PDO 内線","Tiện ích mở rộng PDO","PDO扩展"
"core/base/system::curl_ext","CURL Ext","Extension CURL","カール拡張","Tiện ích mở rộng CURL","CURL 扩展"
"core/base/system::exif_ext","Exif Ext","Extension Exif","Exif 拡張子","Tiện ích mở rộng Exif","Exif 扩展"
"core/base/system::file_info_ext","File info Ext","Info fichier Ext","ファイル情報 拡張子","Tiện ích mở rộng thông tin tệp","文件信息扩展"
"core/base/system::tokenizer_ext","Tokenizer Ext","Extension Tokenizer","トークナイザー拡張","Tiện ích mở rộng Tokenizer","分词器扩展"
"core/base/system::extra_stats","Extra Stats","Statistiques supplémentaires","追加の統計情報","Thống kê bổ sung","额外统计"
"core/base/system::installed_packages","Installed packages and their version numbers","Paquets installés et numéros de version","インストールされているパッケージとそのバージョン番号","Các gói đã cài đặt và số phiên bản của chúng","已安装的包及其版本号"
